type,pos,headword,freq,range
anteriores,,,1,1
antero,,,6,1
antes,,,629,1
antescessor,,,1,1
antevejo,,,1,1
anteviu,,,2,1
antiga,,,351,1
antigamente,,,162,1
antigas,,,76,1
antigo,,,387,1
antigos,,,93,1
antiguidade,,,9,1
antiguo,,,2,1
antisocial,,,1,1
antonieta,,,6,1
antoninho,,,1,1
antonio,,,136,1
antonte,,,1,1
antontes,,,1,1
antunes,,,26,1
antão,,,2,1
antônia,,,4,1
antônio,,,115,1
anu,,,6,1
anualmente,,,1,1
anuidade,,,1,1
anulada,,,1,1
anulou,,,1,1
anuncia,,,90,1
anunciada,,,2,1
anunciado,,,2,1
anunciador,,,3,1
anunciam,,,5,1
anunciando,,,122,1
anunciar,,,26,1
anunciaram,,,1,1
anunciaria,,,1,1
anunciará,,,2,1
anunciava,,,6,1
anunciavam,,,1,1
anunciação,,,14,1
anunciei,,,2,1
anunciem,,,2,1
anuncio,,,6,1
anunciou,,,8,1
anzol,,,44,1
anzóis,,,3,1
anápolis,,,2,1
anãozinho,,,1,1
anéis,,,13,1
aníbal,,,1,1
anísio,,,1,1
anônimo,,,1,1
anões,,,1,1
anú,,,1,1
anúncio,,,16,1
anúncios,,,2,1
ao,,,6841,1
aode,,,2,1
aonda,,,3,1
aonde,,,430,1
aos,,,1261,1
ap,,,4,1
apacentei,,,2,1
apache,,,4,1
apacho,,,2,1
apacui,,,2,1
apaeano,,,2,1
apaeei,,,1,1
apaga,,,180,1
apagada,,,6,1
apagado,,,30,1
apagados,,,2,1
apagam,,,11,1
apagando,,,27,1
apagar,,,85,1
apagaram,,,15,1
apagaro,,,2,1
apagará,,,17,1
apagarão,,,2,1
apagas,,,3,1
apago,,,15,1
apagou,,,56,1
apague,,,10,1
apaguei,,,10,1
apaguem,,,2,1
apagá,,,2,1
apagão,,,3,1
apagó,,,2,1
apaisanado,,,8,1
apaixinado,,,1,1
apaixona,,,70,1
apaixonada,,,87,1
apaixonadamente,,,3,1
apaixonadas,,,8,1
apaixonadinha,,,2,1
apaixonado,,,375,1
apaixonados,,,43,1
apaixonam,,,1,1
apaixonamento,,,12,1
apaixonando,,,10,1
apaixonar,,,87,1
apaixonaram,,,1,1
apaixonas,,,3,1
apaixonei,,,68,1
apaixonite,,,1,1
apaixono,,,7,1
apaixonou,,,25,1
apaixoná,,,4,1
apalache,,,1,1
apalpando,,,6,1
apalpar,,,3,1
apalpou,,,4,1
apaludido,,,1,1
apanando,,,2,1
apanha,,,38,1
apanhador,,,6,1
apanhando,,,11,1
apanhar,,,34,1
apanhava,,,4,1
apanhavam,,,2,1
apanhe,,,1,1
apanhei,,,8,1
apanhemos,,,2,1
apanho,,,6,1
apanhou,,,12,1
apanágio,,,1,1
apapagaiado,,,4,1
apara,,,14,1
aparada,,,14,1
aparado,,,13,1
aparados,,,12,1
aparando,,,10,1
aparar,,,5,1
aparas,,,1,1
aparatam,,,1,1
aparato,,,4,1
aparceirado,,,1,1
apareca,,,1,1
aparece,,,131,1
aparecem,,,3,1
aparecendo,,,4,1
aparecer,,,23,1
apareceres,,,1,1
aparecesse,,,1,1
apareceu,,,58,1
aparecia,,,17,1
aparecida,,,37,1
aparecido,,,1,1
aparei,,,1,1
apareio,,,15,1
aparejos,,,1,1
aparelhada,,,2,1
aparelho,,,2,1
aparenta,,,6,1
aparentado,,,1,1
aparentam,,,1,1
aparentando,,,1,1
aparente,,,3,1
aparentes,,,1,1
aparento,,,4,1
apareser,,,1,1
apareça,,,27,1
apareçam,,,3,1
apareço,,,6,1
apargueando,,,1,1
aparicio,,,4,1
aparição,,,2,1
aparo,,,3,1
aparou,,,4,1
aparpa,,,2,1
aparpando,,,7,1
aparpo,,,1,1
aparrados,,,1,1
aparta,,,59,1
apartada,,,2,1
apartadito,,,1,1
apartado,,,3,1
apartados,,,5,1
apartam,,,16,1
apartamento,,,62,1
apartamentos,,,2,1
apartamo,,,1,1
apartamos,,,2,1
apartando,,,36,1
apartar,,,41,1
apartaram,,,3,1
apartarei,,,2,1
apartaro,,,1,1
apartará,,,2,1
apartava,,,3,1
apartavam,,,2,1
aparte,,,118,1
apartei,,,34,1
apartemo,,,9,1
apartes,,,18,1
apartir,,,2,1
aparto,,,65,1
apartou,,,27,1
apartá,,,1,1
aparência,,,37,1
aparências,,,19,1
aparício,,,121,1
apasigua,,,1,1
apavora,,,46,1
apavorada,,,4,1
apavorado,,,37,1
apavorados,,,2,1
apavorando,,,1,1
apavorar,,,1,1
apavorava,,,1,1
apavoro,,,3,1
apavorou,,,3,1
apaxonada,,,1,1
apaysanado,,,20,1
apazigua,,,2,1
apaí,,,5,1
apealado,,,1,1
apeamo,,,1,1
apeando,,,21,1
apear,,,22,1
apearam,,,4,1
apeava,,,15,1
apedreja,,,6,1
apedrejem,,,1,1
apeei,,,48,1
apega,,,17,1
apegado,,,3,1
apegando,,,3,1
apegar,,,8,1
apegavam,,,1,1
apego,,,86,1
apegos,,,31,1
apegue,,,1,1
apeguei,,,9,1
apegues,,,1,1
apei,,,1,1
apeia,,,87,1
apeiado,,,1,1
apeiam,,,5,1
apeiando,,,1,1
apeiar,,,7,1
apeias,,,1,1
apeie,,,25,1
apeiemo,,,1,1
apeio,,,157,1
apeiou,,,2,1
apeira,,,1,1
apeiro,,,1,1
apeiros,,,5,1
apeita,,,2,1
apeito,,,2,1
apela,,,2,1
apelam,,,1,1
apelar,,,7,1
apelavam,,,1,1
apelei,,,6,1
apelidado,,,14,1
apelidar,,,1,1
apelidaram,,,16,1
apelidei,,,10,1
apelido,,,85,1
apelidou,,,13,1
apelo,,,37,1
apelos,,,11,1
apelou,,,4,1
apena,,,4,1
apenada,,,2,1
apenas,,,308,1
apenasmente,,,6,1
apensar,,,4,1
apenumbrado,,,1,1
apeonada,,,4,1
apeou,,,8,1
apequena,,,8,1
apequenam,,,2,1
apequene,,,1,1
aperado,,,1,1
aperagem,,,4,1
apercigo,,,1,1
aperetivo,,,1,1
aperfeiçoar,,,8,1
aperfila,,,2,1
aperfilo,,,2,1
aperitivinho,,,1,1
aperitivo,,,4,1
apero,,,40,1
aperos,,,52,1
aperparando,,,1,1
aperpare,,,1,1
aperparem,,,1,1
aperreado,,,1,1
aperrei,,,1,1
apersigo,,,3,1
aperta,,,299,1
apertaaperta,,,2,1
apertada,,,34,1
apertadas,,,2,1
apertadinho,,,3,1
apertadita,,,1,1
apertadito,,,1,1
apertado,,,144,1
apertados,,,1,1
apertam,,,9,1
apertamos,,,2,1
apertando,,,55,1
apertar,,,92,1
apertaram,,,9,1
apertasse,,,1,1
apertava,,,39,1
apertdas,,,1,1
aperte,,,21,1
apertei,,,57,1
apertem,,,1,1
aperto,,,195,1
apertos,,,1,1
apertou,,,24,1
apertá,,,5,1
apertão,,,7,1
aperá,,,1,1
apesar,,,124,1
apessoada,,,2,1
apessoal,,,1,1
apetar,,,1,1
apetece,,,5,1
apetecem,,,1,1
apetite,,,13,1
apetrecho,,,3,1
apetrechos,,,6,1
apezito,,,1,1
apiabas,,,1,1
apianada,,,3,1
apiar,,,1,1
apiei,,,2,1
apilha,,,1,1
apimentado,,,1,1
apinchando,,,1,1
apinchei,,,1,1
apincho,,,4,1
apinchou,,,6,1
apinha,,,2,1
apinhado,,,1,1
apioio,,,1,1
apita,,,5,1
apitam,,,1,1
apitando,,,6,1
apitar,,,2,1
apitava,,,2,1
apito,,,21,1
apixonei,,,2,1
aplacar,,,1,1
aplacava,,,1,1
aplainando,,,3,1
aplandindo,,,3,1
aplastado,,,2,1
aplaude,,,16,1
aplaudem,,,2,1
aplaudia,,,2,1
aplaudida,,,2,1
aplaudido,,,11,1
aplaudiendo,,,1,1
aplaudindo,,,3,1
aplaudir,,,17,1
aplaudiram,,,1,1
aplaudiu,,,10,1
aplaudo,,,2,1
aplauso,,,15,1
aplausos,,,18,1
aplicando,,,1,1
aplicar,,,6,1
aplicaram,,,1,1
aplicativo,,,1,1
aplicava,,,2,1
aplico,,,2,1
aplicou,,,1,1
apliquei,,,1,1
apluma,,,1,1
aplumei,,,2,1
apo,,,1,1
apocalíptico,,,1,1
apodera,,,3,1
apoderado,,,3,1
apoderando,,,2,1
apoderandose,,,1,1
apoderei,,,4,1
apodrece,,,22,1
apodrecendo,,,3,1
apodrecer,,,11,1
apodreceu,,,9,1
apodreça,,,4,1
apodreço,,,1,1
apogeo,,,4,1
apogeu,,,2,1
apoia,,,3,1
apoiada,,,2,1
apoiado,,,2,1
apoiando,,,2,1
apoiar,,,3,1
apoiei,,,4,1
apoio,,,20,1
apoiou,,,3,1
apojando,,,12,1
apojava,,,1,1
apojo,,,33,1
apojos,,,1,1
apolinário,,,1,1
apolo,,,1,1
apolos,,,1,1
aponchado,,,1,1
aponcho,,,3,1
aponta,,,43,1
apontada,,,2,1
apontador,,,1,1
apontai,,,1,1
apontam,,,22,1
apontando,,,24,1
apontar,,,6,1
apontarem,,,3,1
apontas,,,1,1
apontasse,,,1,1
apontava,,,14,1
apontavam,,,1,1
apontem,,,3,1
apontou,,,2,1
apontá,,,1,1
aporando,,,1,1
aporeado,,,1,1
aporfia,,,16,1
aporpia,,,2,1
aporreada,,,56,1
aporreadas,,,6,1
aporreado,,,280,1
aporreador,,,1,1
aporreados,,,113,1
aporreando,,,1,1
aporrear,,,1,1
aporrearam,,,3,1
aporreava,,,1,1
aporreia,,,6,1
aporreio,,,1,1
aporreou,,,3,1
aporriada,,,5,1
aporriado,,,22,1
aporriados,,,3,1
aporrinhados,,,1,1
aporta,,,4,1
aportam,,,1,1
aportar,,,2,1
aporte,,,1,1
aporto,,,3,1
aportou,,,2,1
aposentado,,,3,1
aposentados,,,3,1
aposentando,,,1,1
aposentar,,,1,1
aposentá,,,2,1
apossa,,,3,1
apossados,,,2,1
apossamos,,,2,1
apossar,,,2,1
apossou,,,3,1
aposta,,,13,1
apostador,,,1,1
apostam,,,2,1
apostamos,,,1,1
apostando,,,17,1
apostar,,,11,1
apostaram,,,1,1
apostava,,,1,1
aposte,,,1,1
apostei,,,3,1
aposto,,,14,1
apostou,,,1,1
apotra,,,5,1
apoujar,,,1,1
apouquito,,,1,1
apousada,,,1,1
apparicio,,,1,1
apparício,,,3,1
apra,,,1,1
apraza,,,2,1
aprciar,,,1,1
aprecatei,,,1,1
aprece,,,4,1
apreceia,,,1,1
aprecia,,,7,1
apreciada,,,5,1
apreciado,,,2,1
apreciando,,,13,1
apreciar,,,23,1
apreciarem,,,1,1
apreciava,,,1,1
apreciavam,,,1,1
apreciação,,,1,1
aprecie,,,1,1
aprecio,,,6,1
apreendendo,,,3,1
aprega,,,1,1
apregada,,,1,1
apregoou,,,1,1
aprenda,,,14,1
aprendam,,,1,1
aprende,,,98,1
aprendem,,,4,1
aprendemo,,,2,1
aprendemos,,,7,1
aprendendo,,,45,1
aprender,,,103,1
aprenderam,,,8,1
aprenderé,,,2,1
aprendeste,,,2,1
aprendeu,,,80,1
aprendi,,,456,1
aprendia,,,4,1
aprendida,,,1,1
aprendido,,,6,1
aprendiendo,,,2,1
aprendimo,,,1,1
aprendiz,,,23,1
aprendizado,,,3,1
aprendizes,,,1,1
aprendo,,,10,1
aprendê,,,3,1
aprendí,,,3,1
apreocupa,,,2,1
aprepara,,,11,1
apreparado,,,4,1
apreparados,,,2,1
apreparam,,,1,1
apreparando,,,8,1
aprepare,,,2,1
apreparo,,,2,1
apresenta,,,24,1
apresentado,,,3,1
apresentador,,,1,1
apresentados,,,2,1
apresentam,,,7,1
apresentamos,,,1,1
apresentando,,,6,1
apresentar,,,38,1
apresentaram,,,1,1
apresentava,,,1,1
apresentação,,,15,1
apresente,,,7,1
apresentei,,,18,1
apresentes,,,2,1
apresento,,,40,1
apresentou,,,12,1
apresentá,,,1,1
apresentável,,,1,1
apresilha,,,3,1
apresilhada,,,3,1
apresilhadas,,,1,1
apresilhado,,,11,1
apresilhados,,,1,1
apresilham,,,2,1
apresilhamos,,,1,1
apresilhando,,,5,1
apresilho,,,12,1
apresilhou,,,2,1
apressa,,,9,1
apressada,,,4,1
apressadamente,,,2,1
apressado,,,21,1
apressados,,,2,1
apressam,,,1,1
apressando,,,1,1
apressar,,,2,1
apressei,,,1,1
apresso,,,8,1
apressou,,,1,1
apretaram,,,4,1
apreto,,,3,1
aprevenido,,,9,1
aprevinido,,,1,1
aprezilhado,,,2,1
apreço,,,14,1
aprimora,,,1,1
aprimorando,,,4,1
aprimorei,,,2,1
aprisco,,,1,1
aprisiona,,,3,1
aprisionado,,,5,1
aprisionados,,,6,1
aprisionando,,,6,1
aprisionar,,,3,1
aprisionaram,,,1,1
aprisionei,,,1,1
aprisionou,,,1,1
aprisío,,,2,1
aprochega,,,21,1
aprochegam,,,4,1
aprochegando,,,5,1
aprochegar,,,1,1
aprochegaram,,,1,1
aprochegas,,,2,1
aprochego,,,4,1
aprochegue,,,7,1
aprofia,,,3,1
aprofunda,,,1,1
aprofundei,,,1,1
aprofundo,,,5,1
apronta,,,30,1
aprontam,,,3,1
aprontando,,,6,1
aprontas,,,1,1
aprontava,,,1,1
aprontação,,,1,1
apronte,,,1,1
aprontei,,,13,1
aprontes,,,14,1
apronto,,,9,1
aprontou,,,13,1
aprontá,,,2,1
apropria,,,1,1
apropriado,,,1,1
apropriados,,,3,1
aprova,,,5,1
aprovação,,,1,1
aprovei,,,1,1
aproveita,,,33,1
aproveitada,,,1,1
aproveitam,,,1,1
aproveitando,,,18,1
aproveitar,,,23,1
aproveitarem,,,1,1
aproveite,,,5,1
aproveitei,,,16,1
aproveitem,,,4,1
aproveitemo,,,1,1
aproveito,,,18,1
aproveitou,,,3,1
aprovo,,,2,1
aproxega,,,4,1
aproxegar,,,1,1
aproxegue,,,1,1
aproxima,,,33,1
aproximado,,,1,1
aproximam,,,1,1
aproximando,,,7,1
aproximar,,,11,1
aproximava,,,3,1
aproxime,,,1,1
aproximei,,,3,1
aproximo,,,1,1
aproximou,,,2,1
apruma,,,33,1
aprumada,,,3,1
aprumado,,,1,1
aprumando,,,13,1
aprumar,,,4,1
aprumaram,,,1,1
aprumava,,,9,1
aprumavam,,,1,1
aprume,,,1,1
aprumei,,,12,1
aprumem,,,1,1
aprumo,,,44,1
aprumos,,,2,1
aprumá,,,1,1
aprópria,,,1,1
apta,,,1,1
apucarana,,,4,1
apunhalada,,,1,1
apura,,,32,1
apurada,,,3,1
apurado,,,5,1
apurando,,,2,1
apurar,,,3,1
apurate,,,4,1
apuração,,,2,1
apuro,,,35,1
apuros,,,3,1
apurou,,,1,1
apurrinhando,,,2,1
apurá,,,4,1
apuñala,,,1,1
apá,,,11,1
apé,,,16,1
apê,,,3,1
apêgo,,,2,1
apêlo,,,11,1
apêros,,,4,1
apóia,,,1,1
apóio,,,5,1
após,,,72,1
apúlio,,,2,1
aqpaixonado,,,1,1
aquaceiro,,,1,1
aquada,,,1,1
aquadas,,,1,1
aquarela,,,42,1
aquarelas,,,7,1
aque,,,2,1
aquebranta,,,9,1
aquebrantado,,,5,1
aquebrantando,,,1,1
aquece,,,132,1
aquecem,,,10,1
aquecendo,,,38,1
aquecer,,,78,1
aquecerem,,,1,1
aquecerá,,,3,1
aqueces,,,4,1
aqueci,,,2,1
aquecia,,,5,1
aqueciam,,,1,1
aquecida,,,2,1
aquecido,,,1,1
aquecimento,,,2,1
aquel,,,36,1
aquela,,,634,1
aquelas,,,59,1
aquele,,,740,1
aqueles,,,133,1
aquella,,,1,1
aquellas,,,1,1
aquello,,,1,1
aquellos,,,2,1
aquenta,,,32,1
aquentando,,,5,1
aquentar,,,11,1
aquentava,,,1,1
aquente,,,1,1
aquentei,,,3,1
aquentem,,,1,1
aquento,,,43,1
aquentou,,,8,1
aquerencando,,,1,1
aquerencia,,,4,1
aquerenciada,,,19,1
aquerenciadas,,,3,1
aquerenciado,,,29,1
aquerenciados,,,4,1
aquerenciam,,,1,1
aquerenciando,,,10,1
aquerenciar,,,2,1
aquerenciaram,,,3,1
aquerenciaste,,,1,1
aquerenciavam,,,1,1
aquerenciei,,,5,1
aquerencio,,,2,1
aquerenciou,,,17,1
aquerênciou,,,1,1
aqueça,,,3,1
aqueçam,,,2,1
aqueçe,,,1,1
aqueço,,,12,1
aqui,,,2264,1
aquidauana,,,3,1
aquieta,,,10,1
aquietam,,,1,1
aquietar,,,2,1
aquietariam,,,1,1
aquietavam,,,3,1
aquieto,,,7,1
aquilata,,,1,1
aquilo,,,227,1
aquino,,,1,1
aquisição,,,2,1
aquqrela,,,1,1
aquário,,,1,1
aquários,,,3,1
aquél,,,3,1
aquém,,,5,1
aquí,,,11,1
ar,,,299,1
ara,,,5,1
arabi,,,5,1
aracajú,,,1,1
arachanes,,,1,1
aracá,,,1,1
arado,,,140,1
arados,,,18,1
aragana,,,42,1
araganas,,,5,1
aragano,,,87,1
araganos,,,51,1
arage,,,2,1
aragem,,,19,1
aragens,,,2,1
aragonês,,,1,1
araguaia,,,15,1
araguari,,,1,1
arajú,,,2,1
aramadas,,,1,1
aramado,,,48,1
aramador,,,2,1
aramadores,,,2,1
aramados,,,32,1
aramaica,,,1,1
aramas,,,1,1
arambaré,,,5,1
aramburu,,,1,1
arame,,,77,1
arames,,,8,1
aramou,,,1,1
aranceu,,,1,1
arando,,,12,1
aranha,,,34,1
aranhar,,,2,1
aranharam,,,1,1
aranhas,,,2,1
aranho,,,1,1
aranhões,,,1,1
aranzél,,,1,1
araponga,,,7,1
arapongas,,,1,1
arapuca,,,31,1
arapucas,,,3,1
arar,,,2,1
arara,,,4,1
araranguá,,,6,1
araras,,,1,1
ararate,,,1,1
arasta,,,2,1
arataca,,,5,1
aratinga,,,6,1
arau,,,1,1
araucano,,,2,1
araucanos,,,1,1
araucária,,,4,1
araucárias,,,2,1
araujo,,,10,1
arauto,,,1,1
arautos,,,1,1
araças,,,2,1
araçá,,,24,1
arañó,,,2,1
araújo,,,8,1
arbitraria,,,1,1
arbol,,,1,1
arbor,,,2,1
arborizado,,,3,1
arbusto,,,1,1
arca,,,8,1
arcabuz,,,1,1
arcada,,,1,1
arcadado,,,1,1
arcado,,,17,1
arcaicas,,,2,1
arcando,,,1,1
arcanjo,,,1,1
arcanjos,,,1,1
arcas,,,3,1
arcilla,,,5,1
arco,,,37,1
arde,,,95,1
ardem,,,3,1
ardendo,,,31,1
ardente,,,39,1
ardentes,,,9,1
arder,,,6,1
arderá,,,1,1
ardeu,,,2,1
ardia,,,4,1
ardida,,,3,1
ardiente,,,1,1
ardil,,,1,1
ardis,,,1,1
ardió,,,1,1
ardo,,,1,1
ardor,,,12,1
ardores,,,1,1
ardovilo,,,1,1
ardência,,,1,1
area,,,1,1
areais,,,1,1
areal,,,7,1
arebentaram,,,4,1
areco,,,4,1
arecordação,,,1,1
arecém,,,2,1
areei,,,3,1
arei,,,1,1
areia,,,145,1
areias,,,12,1
areio,,,16,1
areios,,,2,1
arejada,,,1,1
arejar,,,2,1
arekó,,,2,1
arena,,,28,1
arenais,,,1,1
arenal,,,5,1
arenhaldt,,,1,1
arenito,,,1,1
arepio,,,1,1
ares,,,68,1
aresaga,,,1,1
aresorva,,,3,1
arespondi,,,2,1
aressém,,,1,1
arestas,,,1,1
arez,,,1,1
arfalfa,,,1,1
arfoje,,,1,1
argenir,,,2,1
argentina,,,158,1
argentinado,,,1,1
argentinas,,,8,1
argentino,,,23,1
argentinos,,,17,1
argibera,,,1,1
argila,,,13,1
argola,,,118,1
argolas,,,18,1
argum,,,1,1
arguma,,,1,1
argumenta,,,2,1
argumento,,,23,1
argumentos,,,9,1
ari,,,17,1
aricungo,,,1,1
aridez,,,2,1
arigatô,,,3,1
ariguá,,,6,1
arincona,,,1,1
arinconadas,,,1,1
arinos,,,2,1
aripuca,,,8,1
ariquemes,,,1,1
arisca,,,39,1
ariscam,,,1,1
ariscas,,,3,1
arisco,,,108,1
ariscona,,,5,1
ariscos,,,9,1
ariscou,,,2,1
arismar,,,2,1
aristides,,,2,1
aritchicum,,,2,1
ariticum,,,19,1
ariticuns,,,1,1
arma,,,96,1
armada,,,218,1
armadas,,,15,1
armadilha,,,6,1
armadilhas,,,1,1
armado,,,26,1
armados,,,3,1
armadura,,,6,1
armadão,,,11,1
armam,,,2,1
armamento,,,1,1
armamos,,,1,1
armando,,,28,1
armar,,,9,1
armaram,,,5,1
armarinho,,,1,1
armas,,,93,1
armava,,,9,1
armazzém,,,2,1
armazém,,,15,1
armação,,,1,1
armei,,,8,1
armo,,,22,1
armonía,,,1,1
armorial,,,3,1
armou,,,44,1
armoço,,,2,1
armário,,,4,1
arnica,,,5,1
arnóbio,,,5,1
aro,,,2,1
aroba,,,4,1
arodeio,,,2,1
aroeira,,,16,1
aroeiras,,,1,1
aroma,,,98,1
aromada,,,17,1
aromado,,,1,1
aromando,,,4,1
aromas,,,15,1
arou,,,4,1
aroveitemo,,,1,1
arpegiando,,,1,1
arpejados,,,1,1
arpejam,,,2,1
arpejo,,,1,1
arpejos,,,7,1
arqueado,,,3,1
arqueando,,,1,1
arqueia,,,6,1
arqueja,,,1,1
arquejado,,,1,1
arqueou,,,1,1
arquibancada,,,5,1
arquiplano,,,1,1
arquiteta,,,2,1
arquiteto,,,5,1
arquitetos,,,1,1
arquitetura,,,3,1
arquiva,,,1,1
arquivo,,,8,1
arquivos,,,1,1
arrabal,,,1,1
arrabalde,,,13,1
arrabaldes,,,1,1
arrabaleira,,,3,1
arrabalera,,,2,1
arrabalero,,,1,1
arrabalhera,,,1,1
arraigo,,,12,1
arraiá,,,2,1
arralbadeira,,,2,1
arranca,,,69,1
arrancada,,,11,1
arrancadas,,,4,1
arrancado,,,7,1
arrancadão,,,4,1
arrancam,,,2,1
arrancando,,,54,1
arrancar,,,58,1
arrancaram,,,3,1
arrancarem,,,2,1
arrancasse,,,1,1
arrancava,,,12,1
arrancha,,,11,1
arranchadas,,,5,1
arranchado,,,18,1
arranchamento,,,6,1
arranchando,,,2,1
arranchar,,,15,1
arranchei,,,8,1
arrancho,,,4,1
arranchou,,,16,1
arranchô,,,1,1
arranco,,,45,1
arrancos,,,2,1
arrancou,,,25,1
arrancá,,,5,1
arranha,,,41,1
arranhada,,,1,1
arranhado,,,5,1
arranhando,,,3,1
arranhar,,,6,1
arranhava,,,1,1
arranhei,,,1,1
arranho,,,2,1
arranhão,,,3,1
arranja,,,13,1
arranjador,,,1,1
arranjar,,,40,1
arranjarei,,,1,1
arranjava,,,4,1
arranje,,,17,1
arranjei,,,39,1
arranjo,,,29,1
arranjos,,,3,1
arranjou,,,13,1
arranque,,,26,1
arranquei,,,24,1
arranquemo,,,1,1
arranques,,,4,1
arraponga,,,1,1
arrar,,,1,1
arrasa,,,17,1
arrasada,,,1,1
arrasado,,,3,1
arrasando,,,2,1
arrasar,,,1,1
arrasta,,,237,1
arrastada,,,1,1
arrastadinho,,,2,1
arrastado,,,6,1
arrastam,,,22,1
arrastando,,,167,1
arrastapé,,,7,1
arrastar,,,107,1
arrastaram,,,3,1
arrastas,,,2,1
arrastava,,,13,1
arrastavam,,,2,1
arraste,,,10,1
arrastei,,,17,1
arrasto,,,106,1
arrastou,,,24,1
arrastá,,,5,1
arrastão,,,9,1
arraza,,,2,1
arreadas,,,3,1
arreado,,,2,1
arreador,,,10,1
arreame,,,1,1
arreando,,,1,1
arrebangada,,,2,1
arrebanha,,,8,1
arrebanhadas,,,4,1
arrebanhados,,,1,1
arrebanhando,,,5,1
arrebanhar,,,1,1
arrebanhe,,,1,1
arrebanhei,,,1,1
arrebanho,,,1,1
arrebanhou,,,2,1
arrebata,,,19,1
arrebatador,,,1,1
arrebatando,,,2,1
arrebenta,,,63,1
arrebentado,,,7,1
arrebentando,,,30,1
arrebentar,,,21,1
arrebentaram,,,3,1
arrebente,,,12,1
arrebentei,,,17,1
arrebento,,,34,1
arrebentou,,,19,1
arrebentá,,,1,1
arreberntaram,,,1,1
arrebienta,,,1,1
arrebitado,,,15,1
arrebol,,,35,1
arreboleia,,,1,1
arrebuscou,,,1,1
arrebuscà,,,1,1
arrebusquei,,,1,1
arrebóis,,,3,1
arrecadar,,,1,1
arrecadei,,,6,1
arrecebeu,,,2,1
arrecebi,,,1,1
arrecem,,,1,1
arrecenzinho,,,1,1
arrecifes,,,1,1
arrecoio,,,1,1
arrecém,,,7,1
arreda,,,12,1
arredada,,,1,1
arredado,,,1,1
arredando,,,2,1
arredaram,,,1,1
arredava,,,2,1
arrede,,,2,1
arredemo,,,1,1
arredia,,,2,1
arredio,,,10,1
arredo,,,6,1
arredoma,,,2,1
arredonda,,,1,1
arredondada,,,2,1
arredondava,,,1,1
arredor,,,5,1
arredou,,,1,1
arreei,,,2,1
arregadito,,,1,1
arregalado,,,11,1
arregalados,,,4,1
arregalei,,,1,1
arregalo,,,1,1
arregalou,,,2,1
arreganha,,,27,1
arreganhando,,,1,1
arreganhar,,,3,1
arreganho,,,6,1
arreganhá,,,2,1
arregaça,,,3,1
arregaçando,,,1,1
arregaçara,,,1,1
arregaço,,,4,1
arregla,,,3,1
arreglado,,,9,1
arreglando,,,3,1
arreglei,,,1,1
arreglo,,,1,1
arreglou,,,2,1
arrego,,,17,1
arregrando,,,1,1
arreia,,,3,1
arreiador,,,3,1
arreio,,,477,1
arreios,,,586,1
arreiudo,,,1,1
arrelha,,,1,1
arrelho,,,1,1
arreliam,,,1,1
arremanga,,,41,1
arremangada,,,22,1
arremangado,,,9,1
arremangam,,,2,1
arremangando,,,1,1
arremango,,,2,1
arremangou,,,2,1
arremangue,,,6,1
arremanguei,,,4,1
arremata,,,7,1
arrematada,,,3,1
arrematado,,,1,1
arrematar,,,9,1
arremate,,,44,1
arrematei,,,3,1
arremates,,,5,1
arremato,,,1,1
arrembageio,,,2,1
arremedado,,,2,1
arremedando,,,2,1
arremendado,,,3,1
arrementar,,,1,1
arremessando,,,1,1
arremessos,,,1,1
arrendado,,,1,1
arrendavam,,,2,1
arrendei,,,1,1
arrendou,,,1,1
arrenega,,,3,1
arrenegada,,,1,1
arrenegando,,,1,1
arrenego,,,2,1
arrenegues,,,1,1
arrenharem,,,1,1
arrenpendida,,,1,1
arreparando,,,1,1
arrepare,,,10,1
arreparei,,,1,1
arreparem,,,1,1
arrepartindo,,,1,1
arrepará,,,1,1
arrepassar,,,2,1
arrependa,,,2,1
arrepende,,,19,1
arrependem,,,3,1
arrepender,,,35,1
arrependeres,,,1,1
arrependesse,,,1,1
arrependeu,,,14,1
arrependi,,,16,1
arrependia,,,1,1
arrependida,,,29,1
arrependido,,,18,1
arrependidos,,,2,1
arrependimento,,,10,1
arrependimentos,,,2,1
arrependo,,,27,1
arrepentida,,,1,1
arrepia,,,107,1
arrepiada,,,2,1
arrepiado,,,29,1
arrepiam,,,1,1
arrepiando,,,10,1
arrepiar,,,38,1
arrepiaram,,,2,1
arrepiava,,,2,1
arrepiei,,,4,1
arrepio,,,65,1
arrepios,,,3,1
arrepiou,,,1,1
arrepiu,,,3,1
arrepiá,,,7,1
arresolvemo,,,1,1
arresolvido,,,5,1
arresorvida,,,1,1
arresponde,,,1,1
arressabiou,,,1,1
arretada,,,1,1
arretado,,,1,1
arretira,,,1,1
arretire,,,3,1
arretiro,,,1,1
arrevirando,,,2,1
arrevire,,,2,1
arreviria,,,1,1
arreçabiado,,,2,1
arriada,,,1,1
arriado,,,2,1
arriar,,,2,1
arriassem,,,2,1
arriba,,,35,1
arribada,,,1,1
arribadas,,,3,1
arribam,,,1,1
arribando,,,5,1
arribação,,,2,1
arrido,,,3,1
arriei,,,4,1
arriendando,,,1,1
arriero,,,1,1
arrima,,,24,1
arrimando,,,1,1
arrimo,,,8,1
arrimos,,,6,1
arrincona,,,4,1
arrinconada,,,7,1
arrinconado,,,18,1
arrinconados,,,2,1
arrinconam,,,1,1
arrinconando,,,2,1
arrinconei,,,1,1
