type,pos,headword,freq,range
abrigastes,,,1,1
abrigava,,,2,1
abrigavam,,,1,1
abrigo,,,176,1
abrigos,,,2,1
abrigou,,,11,1
abrigue,,,3,1
abriguei,,,3,1
abril,,,22,1
abrilino,,,1,1
abrimo,,,1,1
abrimos,,,4,1
abrindo,,,301,1
abrio,,,1,1
abrir,,,168,1
abriram,,,9,1
abrirem,,,2,1
abrirá,,,3,1
abris,,,1,1
abrisse,,,5,1
abriste,,,1,1
abriu,,,139,1
abriva,,,1,1
abro,,,321,1
abrojo,,,2,1
abrojos,,,1,1
abrolhos,,,1,1
abruja,,,1,1
abs,,,1,1
abscesso,,,1,1
absoluto,,,5,1
absolvição,,,1,1
absorvem,,,4,1
abstenho,,,1,1
abstrato,,,1,1
absurdo,,,3,1
absurdos,,,3,1
absurto,,,1,1
abuelo,,,5,1
abuelos,,,2,1
abugrada,,,1,1
abugradas,,,2,1
abugrado,,,3,1
abugrar,,,2,1
abundância,,,1,1
aburguesada,,,2,1
aburrido,,,2,1
abusa,,,17,1
abusado,,,12,1
abusador,,,1,1
abusando,,,3,1
abusar,,,2,1
abusaram,,,1,1
abusava,,,1,1
abuso,,,18,1
abusos,,,10,1
abusou,,,2,1
abéia,,,1,1
abílio,,,1,1
abóbora,,,9,1
abóbra,,,9,1
abóbras,,,1,1
acaba,,,126,1
acabado,,,13,1
acabam,,,18,1
acabamos,,,4,1
acabando,,,27,1
acabanhado,,,1,1
acabar,,,167,1
acabara,,,2,1
acabaram,,,15,1
acabarem,,,14,1
acabarão,,,1,1
acabasse,,,3,1
acabaste,,,1,1
acabava,,,12,1
acabe,,,24,1
acabei,,,30,1
acabem,,,7,1
acabemo,,,1,1
acabernada,,,1,1
acabo,,,53,1
acabou,,,141,1
acabresto,,,7,1
acabrunha,,,1,1
acabrunhada,,,2,1
acabrunhado,,,19,1
acabrunhados,,,1,1
acabrunhou,,,1,1
acabá,,,8,1
acabó,,,1,1
acachorreado,,,1,1
acadelado,,,3,1
acadelaram,,,1,1
acadelou,,,5,1
academia,,,21,1
acalambrada,,,1,1
acalambrado,,,13,1
acalanta,,,16,1
acalantar,,,2,1
acalantem,,,2,1
acalanto,,,31,1
acalantos,,,3,1
acalcando,,,2,1
acalcava,,,2,1
acalco,,,1,1
acalenta,,,17,1
acalentadas,,,1,1
acalentado,,,2,1
acalentando,,,2,1
acalentar,,,4,1
acalentara,,,1,1
acalentaste,,,1,1
acalentava,,,4,1
acalentei,,,2,1
acalento,,,2,1
acalentou,,,2,1
acalma,,,98,1
acalmam,,,8,1
acalmando,,,17,1
acalmar,,,59,1
acalmarão,,,1,1
acalmava,,,4,1
acalme,,,7,1
acalmem,,,1,1
acalmo,,,15,1
acalmou,,,16,1
acalmá,,,1,1
acalorando,,,1,1
acalorou,,,1,1
acalquei,,,3,1
acama,,,1,1
acampa,,,98,1
acampaamento,,,1,1
acampada,,,4,1
acampado,,,8,1
acampados,,,4,1
acampam,,,2,1
acampamento,,,76,1
acampamentos,,,11,1
acampamos,,,1,1
acampando,,,5,1
acampanhado,,,1,1
acampar,,,6,1
acampe,,,2,1
acampo,,,17,1
acampou,,,10,1
acancela,,,1,1
acancha,,,1,1
acanha,,,19,1
acanhada,,,9,1
acanhado,,,7,1
acanhamento,,,2,1
acanhamentos,,,1,1
acanhanda,,,1,1
acanhava,,,1,1
acanhe,,,8,1
acanho,,,2,1
acapenga,,,2,1
acarajé,,,3,1
acarancha,,,3,1
acaranchiei,,,1,1
acarancho,,,2,1
acaranchou,,,2,1
acarca,,,22,1
acarcado,,,5,1
acarcando,,,6,1
acarcar,,,4,1
acarco,,,5,1
acarcou,,,2,1
acarcá,,,13,1
acarianos,,,1,1
acaricia,,,8,1
acariciada,,,3,1
acariciado,,,5,1
acariciadores,,,2,1
acariciando,,,20,1
acariciante,,,2,1
acariciar,,,11,1
acariciaram,,,2,1
acariciava,,,3,1
acariciei,,,2,1
acaricio,,,9,1
acariciá,,,1,1
acarinha,,,1,1
acarinhando,,,5,1
acarinhar,,,1,1
acarinhasse,,,1,1
acarinho,,,1,1
acarmô,,,1,1
acarque,,,1,1
acarquei,,,7,1
acarquemo,,,6,1
acarquêmo,,,1,1
acarreia,,,1,1
acarreta,,,1,1
acasala,,,1,1
acasalado,,,1,1
acasalam,,,1,1
acasalar,,,2,1
acasalo,,,1,1
acaso,,,246,1
acasos,,,1,1
acastelhanado,,,1,1
acatando,,,2,1
acatar,,,3,1
acauntrezada,,,2,1
acauso,,,5,1
acavala,,,3,1
acavalada,,,2,1
acavalando,,,2,1
acavalo,,,13,1
acavalou,,,1,1
accidente,,,1,1
accordionist,,,2,1
ace,,,3,1
acedendo,,,1,1
acegua,,,1,1
aceguá,,,14,1
aceio,,,2,1
aceita,,,35,1
aceitam,,,6,1
aceitamos,,,4,1
aceitando,,,2,1
aceitar,,,50,1
aceitaram,,,2,1
aceitarei,,,2,1
aceitares,,,3,1
aceitariam,,,1,1
aceitas,,,1,1
aceitava,,,1,1
aceite,,,44,1
aceitei,,,6,1
aceito,,,53,1
aceitou,,,7,1
acelara,,,1,1
acelera,,,4,1
acelerada,,,2,1
acelerado,,,7,1
acelerador,,,2,1
acelerando,,,4,1
acelerar,,,3,1
acelero,,,9,1
acena,,,12,1
acenam,,,10,1
acenando,,,39,1
acenar,,,4,1
acenaram,,,1,1
acenava,,,11,1
acenda,,,8,1
acendam,,,1,1
acende,,,121,1
acendem,,,11,1
acendendo,,,10,1
acender,,,52,1
acenderam,,,5,1
acenderes,,,1,1
acendes,,,2,1
acendeste,,,1,1
acendeu,,,19,1
